Route_ID,startMilepost,endMilepost,Average daily traffic counts Year_2015,"RteType (IS= Interstate, SR= State Route)",Number of Lanes DECR MP direction ,Number of Lanes INCR MP direction,,Comments
5,194.56,198.61,134000,IS,3,3,,
5,198.61,198.95,152000,IS,3,3,,
5,198.95,199.58,121000,IS,3,3,,
5,199.58,200.25,136000,IS,3,3,,
5,200.25,201.19,112000,IS,3,3,,
5,201.19,202.18,122000,IS,3,3,,
5,202.18,202.87,96000,IS,3,3,,
5,202.87,205.53,108000,IS,3,3,,
5,205.53,206.6,74000,IS,3,3,,
5,206.6,208.46,89000,IS,3,3,,
5,208.46,209.09,74000,IS,3,3,,
5,209.09,210.05,83000,IS,3,3,,
5,210.05,210.79,78000,IS,3,3,,
5,210.79,212.37,82000,IS,3,3,,
5,212.37,213.08,61000,IS,3,3,,
5,213.08,214.8,64000,IS,3,3,,
5,214.8,215.51,60000,IS,3,3,,
5,215.51,218.33,62000,IS,3,3,,northern boundary of Snohomish County
90,1.94,2.04,13000,SR,2,3,,Start of I90 in downtown Seattle
90,2.04,2.4,44000,SR,2,2,,
90,2.4,2.54,23000,SR,2,2,,
90,2.54,2.79,23000,IS,2,2,,
90,2.79,3.94,121000,IS,4,4,,Intersection with I5
90,3.94,5.82,132000,IS,3,3,,
90,5.82,6.56,132000,IS,3,3,,
90,6.56,6.85,131000,IS,3,3,,
90,6.85,7.64,124000,IS,3,3,,
90,7.64,8.7,151000,IS,3,3,,
90,8.7,9.61,162000,IS,3,3,,
90,9.61,9.87,100000,IS,3,3,,
90,9.87,10.15,75000,IS,3,3,,
90,10.15,11.64,146000,IS,3,3,,
90,11.64,12.34,101000,IS,3,3,,Intersection with I405
90,12.34,13.3,130000,IS,3,3,,
90,13.3,14.32,118000,IS,3,3,,
90,14.32,15.36,128000,IS,3,3,,
90,15.37,16.31,86000,IS,3,3,,
90,16.31,16.85,97000,IS,3,3,,
90,16.85,18,69000,IS,3,3,,
90,18,18.38,63000,IS,3,3,,
90,18.38,19.97,71000,IS,3,3,,
90,19.97,20.75,69000,IS,3,3,,
90,20.75,22.22,69000,IS,3,3,,
90,22.22,22.86,58000,IS,3,3,,
90,22.86,25.37,63000,IS,3,3,,
405,0,0.09,75000,IS,3,3,,Intersection with I5
405,0.09,0.37,110000,IS,3,3,,
405,0.37,0.54,169000,IS,3,3,,
405,0.54,0.75,176000,IS,3,3,,
405,0.75,1.22,156000,IS,3,3,,
405,1.22,2.26,169000,IS,3,3,,
405,2.26,2.8,93000,IS,3,3,,Intersection with SR167
405,2.8,3.3,152000,IS,3,3,,
405,3.3,3.69,172000,IS,2,2,,
405,3.69,4.5,130000,IS,2,2,,
405,4.5,4.79,138000,IS,2,2,,
405,4.79,5.19,153000,IS,2,2,,
405,5.19,5.89,133000,IS,2,2,,
405,5.89,6.34,148000,IS,2,2,,
405,6.34,6.72,144000,IS,2,2,,
405,6.72,7.2,154000,IS,2,2,,
405,7.2,7.69,145000,IS,2,2,,
405,7.69,8.98,152000,IS,2,2,,
405,8.98,9.59,151000,IS,2,2,,
405,9.59,9.96,161000,IS,2,2,,
405,9.96,10.56,147000,IS,2,2,,
405,10.56,10.93,177000,IS,2,2,,
405,10.93,11.69,102000,IS,4,4,,Intersection with I90
405,11.69,12.44,195000,IS,4,4,,
405,12.44,12.99,177000,IS,4,3,,
405,12.99,13.42,192000,IS,4,3,,
405,13.42,13.78,141000,IS,3,3,,
405,13.78,14.83,158000,IS,3,3,,
405,14.83,15.76,130000,IS,3,3,,Intersection with SR520
405,15.76,17.05,185000,IS,3,3,,
405,17.05,17.62,171000,IS,3,3,,
405,17.62,17.78,185000,IS,3,3,,
405,17.78,18.6,161000,IS,3,3,,
405,18.6,19.51,193000,IS,3,3,,
405,19.51,20.27,168000,IS,3,3,,
405,20.27,21.28,132000,IS,3,3,,
405,21.28,22.32,164000,IS,3,3,,
405,22.32,23.47,152000,IS,3,3,,
405,23.47,23.88,112000,IS,3,3,,
405,23.88,24.09,124000,IS,3,3,,
405,24.09,24.28,116000,IS,3,3,,
405,24.28,24.83,107000,IS,3,3,,
405,24.83,26.31,128000,IS,3,3,,
405,26.31,27.4,91000,IS,3,3,,
405,27.4,29.88,119000,IS,3,3,,
405,29.88,30.21,50000,IS,3,3,,
405,30.21,30.32,35000,IS,3,3,,Intersection with I5
520,0,0.36,48000,SR,2,2,,Intersection with I5
520,0.36,0.85,79000,SR,2,2,,
520,0.85,1.43,45000,SR,2,2,,
520,1.43,1.63,61000,SR,2,2,,
520,1.63,4.4,68000,SR,2,2,,
520,4.4,5.39,61000,SR,2,2,,
520,5.39,5.6,77000,SR,2,2,,
520,5.6,6.52,62000,SR,2,2,,
520,6.52,6.93,77000,SR,2,2,,
520,6.93,9.6,109000,SR,2,2,,Intersection with I405
520,9.6,9.72,95000,SR,2,2,,
520,9.72,11.35,68000,SR,2,2,,
520,11.35,12.05,91000,SR,2,2,,
520,12.05,12.38,78000,SR,2,2,,
520,12.38,12.83,37000,SR,2,2,,Terminus of SR 520
